url_len,host_len,path_len,query_len,num_subdomains,uses_https,has_ip_in_host,num_digits,num_specials,count_at,count_dash,count_underscore,count_percent,count_dot,hostname_entropy,kw_login,kw_verify,kw_update,kw_free,kw_winner,kw_click,kw_bonus,kw_urgent,kw_account,kw_secure,kw_bank,kw_paypal,label,url
55,21,26,0,2,1.0,0.0,0,10,0,1,0,0,2,3.52257158913636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,https://developer.mozilla.org/en-US/docs/Web/JavaScript
54,32,15,0,2,0.0,0.0,1,10,0,3,0,0,2,4.077819531114783,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1,http://sub4.bank-secure-update-login.ru/account/urgent
41,14,19,0,2,1.0,0.0,4,10,0,1,0,0,2,3.1820058147602133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,https://www.python.org/dev/peps/pep-0008/
48,34,7,0,2,0.0,0.0,1,9,0,3,0,0,2,4.2339466645252255,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1,http://sub5.account-verify-login-bank.com/update
41,14,19,0,2,1.0,0.0,4,10,0,1,0,0,2,3.1820058147602133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,https://www.python.org/dev/peps/pep-0008/
32,12,13,0,3,0.0,1.0,9,8,0,0,0,0,3,2.8553885422075336,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,http://192.168.0.30/login/verify
51,22,13,8,1,0.0,0.0,4,11,0,2,0,0,1,3.8796640049025943,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,http://bonus-free-money.click/winner/claim?&id=2549
50,35,8,0,3,0.0,0.0,0,9,0,2,0,0,3,4.057575159678482,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1,http://secure-account.bank.verify-login.cn/account
63,32,15,8,2,0.0,0.0,5,13,0,3,0,0,2,4.077819531114783,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1,http://sub5.bank-secure-update-login.ru/account/urgent?&id=5066
41,20,14,0,1,0.0,0.0,0,8,0,2,0,0,1,3.8219280948873626,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1,http://click-bonus-free.win/urgent/reward
